"(PDH-CSV 4.0) (SE Asia Standard Time)(-420)","\\DESKTOP-40KCB18\Processor(_Total)\% Processor Time"
"04/13/2020 23:59:58.509"," "
"04/14/2020 00:00:03.510","15.757909258974089894"
"04/14/2020 00:00:08.510","37.506273120304179258"
"04/14/2020 00:00:13.511","32.38755298478470479"
"04/14/2020 00:00:18.511","87.110990992828590151"
"04/14/2020 00:00:23.513","34.553179920472246067"
"04/14/2020 00:00:28.513","17.705230165660434949"
"04/14/2020 00:00:33.514","24.691102777643113342"
"04/14/2020 00:00:38.514","20.157436460494192687"
"04/14/2020 00:00:43.514","16.451038445824927692"
"04/14/2020 00:00:48.515","15.248519327094689046"
"04/14/2020 00:00:53.515","10.868317473024758257"
"04/14/2020 00:00:58.516","13.517666983059195118"
"04/14/2020 00:01:03.516","13.136200218343851986"
"04/14/2020 00:01:08.517","9.3471715115628573045"
"04/14/2020 00:01:13.517","10.90729916002554134"
"04/14/2020 00:01:18.518","9.1159689366041689595"
"04/14/2020 00:01:23.518","8.4011365025186357514"
"04/14/2020 00:01:28.519","8.2142669522773275048"
"04/14/2020 00:01:33.519","10.670899249371457174"
