"(PDH-CSV 4.0) (SE Asia Standard Time)(-420)","\\DESKTOP-40KCB18\Processor(_Total)\% Processor Time"
"04/14/2020 09:07:21.366"," "
"04/14/2020 09:07:26.366","6.7669507034920473032"
"04/14/2020 09:07:31.352","43.898492854009404596"
"04/14/2020 09:07:36.356","31.937696271702353812"
"04/14/2020 09:07:41.414","97.37388467337304121"
"04/14/2020 09:07:46.361","73.512765592748891663"
"04/14/2020 09:07:51.362","23.086948175762010749"
"04/14/2020 09:07:56.362","27.152883131071337885"
"04/14/2020 09:08:01.363","21.534871938461130014"
"04/14/2020 09:08:06.363","23.210589466492070443"
"04/14/2020 09:08:11.364","23.718532582896045824"
"04/14/2020 09:08:16.364","13.218481121950286905"
"04/14/2020 09:08:21.365","17.70568931257768952"
"04/14/2020 09:08:26.366","20.171781378215058567"
"04/14/2020 09:08:31.366","12.149228656942090865"
"04/14/2020 09:08:36.367","15.165742953363514189"
"04/14/2020 09:08:41.352","11.149741079501696461"
"04/14/2020 09:08:46.353","7.2006051305434688459"
"04/14/2020 09:08:51.353","8.9138101537572396182"
"04/14/2020 09:08:56.354","9.1067974484669633739"
"04/14/2020 09:09:01.354","11.954161179981303675"
"04/14/2020 09:09:06.354","10.390878697722072843"
"04/14/2020 09:09:11.355","7.7119755256990778491"
